,detector,detector_order,FCCD,FCCD_err_up,FCCD_err_low
0,V02160A,2,0.6433023626153962,0.05380868316876142,0.05481736382541136
1,V02160B,2,0.6534449989877413,0.054003361473217826,0.05465818148848145
2,V02162B,2,0.6814413336881966,0.05357322446438928,0.053868217754815984
3,V02166B,2,0.7553930649717557,0.05318737007559504,0.053996627834344335
4,V00048B,3,1.0515501132386957,0.05567000673819811,0.05600086820977157
5,V04199A,4,1.1564338058245143,0.046800782442940614,0.05960407505915488
6,V04545A,4,0.8594641649852173,0.052375320890285404,0.05353799156502825
7,V04549A,4,1.1222856763349294,0.05332358379148472,0.05392209982012042
8,V04549B,4,1.1603131302959688,0.04851731953056637,0.05909488837433563
9,V05261A,5,0.897876713396995,0.05017094254389587,0.0551680559414629
10,V05261B,5,1.013100567286033,0.04908841769316452,0.05639686109881503
11,V05266A,5,0.9129890575624773,0.05345605595402858,0.054145645449597546
12,V05266B,5,0.9077636364304171,0.05334850518868728,0.05418587525085927
13,V05267A,5,1.1295611121720899,0.054435093963911774,0.05478623691216589
14,V05267B,5,0.8124992232168737,0.04991305797346968,0.05452763517592829
15,V05268A,5,0.9619926917047277,0.049576625366840155,0.055449484619660705
16,V05268B,5,0.8499295696406748,0.04934752500472395,0.056115692198460465
17,V05612A,5,1.3301219295130302,0.050199561501106826,0.05685402911632531
18,V05612B,5,0.890832714890146,0.04837946321165054,0.05624940107792131
19,V07302A,7,0.9798122536236072,0.05379449623610577,0.05471615370026439
20,V07302B,7,0.8567852329782288,0.053830112627090254,0.05500367822723906
21,V07647B,7,0.7459198534247455,0.054619833224064385,0.05565130545900743
22,V07298B,7,0.8682569484290249,0.05338051849851155,0.05428877445206681
